"Dataset","Comparison","PERMANOVA_F","PERMANOVA_p_adjusted","PERMDISP_F","PERMDISP_p_adjusted"
"all","H. gemma vs. H. guttavarius",1.472,0.001,2.075,0.361
"all","H. guttavarius vs. H. maya",1.975,0.001,19.067,0.003
"all","H. aberrans vs. H. gummigutta",2.633,0.001,404.753,0.003
"all","H. aberrans vs. H. affinis",1.223,0.001,275.358,0.03
"all","H. aberrans vs. H. sp1",1.538,0.001,215.01,0.003
"all","H. aberrans vs. H. chlorurus",1.377,0.001,62.023,0.019
"all","H. aberrans vs. H. randallorum",1.113,0.001,15.561,0.701
"all","H. aberrans vs. H. atlahua",8.579,0.001,144.254,0.003
"all","H. aberrans vs. H. gemma",1.497,0.001,116.857,0.191
"all","H. aberrans vs. H. maya",1.785,0.001,188.918,0.003
"all","H. affinis vs. H. gummigutta",2.194,0.001,0,1
"all","H. gummigutta vs. H. sp1",2.489,0.001,16.364,0.028
"all","H. chlorurus vs. H. gummigutta",2.602,0.001,123.493,0.003
"all","H. gummigutta vs. H. randallorum",2.431,0.001,165.088,0.003
"all","H. atlahua vs. H. gummigutta",9.295,0.001,29.611,0.003
"all","H. gemma vs. H. gummigutta",2.508,0.001,24.468,0.007
"all","H. gummigutta vs. H. maya",2.88,0.001,0.123,0.895
"all","H. affinis vs. H. sp1",1.531,0.001,30.01,0.01
"all","H. affinis vs. H. chlorurus",1.442,0.001,104.722,0.071
"all","H. affinis vs. H. randallorum",1.219,0.001,119.032,0.122
"all","H. affinis vs. H. atlahua",6.583,0.001,14.432,0.003
"all","H. affinis vs. H. gemma",1.479,0.001,21.721,0.292
"all","H. affinis vs. H. maya",1.602,0.001,0.08,0.985
"all","H. chlorurus vs. H. sp1",1.229,0.001,56.208,0.027
"all","H. randallorum vs. H. sp1",1.431,0.001,80.43,0.02
"all","H. atlahua vs. H. sp1",7.112,0.001,23.562,0.003
"all","H. gemma vs. H. sp1",1.55,0.001,3.591,0.013
"all","H. maya vs. H. sp1",2.035,0.001,5.63,0.011
"all","H. chlorurus vs. H. randallorum",1.382,0.001,8.688,0.021
"all","H. atlahua vs. H. chlorurus",7.913,0.001,56.042,0.003
"all","H. chlorurus vs. H. gemma",1.568,0.001,16.824,0.701
"all","H. chlorurus vs. H. maya",1.963,0.001,49.005,0.003
"all","H. atlahua vs. H. randallorum",7.87,0.001,67.624,0.003
"all","H. gemma vs. H. randallorum",1.447,0.001,35.913,0.52
"all","H. maya vs. H. randallorum",1.605,0.001,72.751,0.003
"all","H. atlahua vs. H. gemma",6.367,0.001,25.896,0.003
"all","H. atlahua vs. H. maya",7.96,0.001,19.034,0.003
"all","H. gemma vs. H. maya",1.957,0.001,10.011,0.003
"pue"," vs. ",1.23,0.005,7.811,0.012
"pue"," vs. ",1.139,0.005,6.831,0.012
"pue"," vs. ",1.316,0.005,153.6,0.012
"pue"," vs. ",1.234,0.005,48.333,0.012
"pue"," vs. ",1.404,0.005,181.791,0.017
"pue"," vs. ",1.203,0.005,312.605,0.012
"nig"," vs. ",1.662,0.003,54.24,0.002
"nig"," vs. ",1.341,0.003,0.026,0.932
"nig"," vs. ",1.646,0.003,265.005,0.002
"uni"," vs. ",1.252,0.002,0.023,0.983
"uni"," vs. ",1.144,0.002,34.645,0.087
"uni"," vs. ",1.206,0.002,151.575,0.009
"uni"," vs. ",1.176,0.002,236.493,0.02
"uni"," vs. ",1.242,0.002,4.21,0.399
"uni"," vs. ",1.351,0.002,21.176,0.434
"uni"," vs. ",1.314,0.002,44.24,0.233
"uni"," vs. ",1.252,0.002,70.899,0.009
"uni"," vs. ",1.249,0.002,145.335,0.009
"uni"," vs. ",1.209,0.002,18.806,0.008
