,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,images
14,4285.534927471316,-6110.679787936619,5836.016000047851,12093.885173781457,-812.8430726761487,2904.422277428855,2681.6161460078965,-291.7412579039804,5354.2560911175215,-1117.383934759865,-1377.6000121734996,1637.1912162086903,-109.69512652918883,3616.163567277169,5343.634910242746,PL17_132indbel-l1-s4-f4-c2-d1.png
15,7382.678685934047,25068.847460568017,-3342.174685496577,-5667.834797593183,274.444556498301,5784.273275014507,7020.186436435994,-571.1107752795972,1333.6080184332632,6771.474645494899,-1657.305081732537,4544.764237373587,-2317.7418324198597,-2025.0531307754934,40.64761517613208,PL22_0367abeuvi-l3.png
16,-4150.533839760955,10171.758548755632,2524.251022078612,-7700.558537499137,-4618.461010901764,3866.759900121023,247.57339282389648,-2590.161774256334,868.2434553738497,2452.614936296984,-417.48612088899796,192.60736783933692,75.9367386963942,-688.2796752771555,-361.5808616845982,PL22_0141gumtob-l8.png
17,-18444.643980671954,-2527.282179477785,9089.038889241774,-2724.2369345864254,-11953.497787119812,4582.0100010057595,-4078.254895943571,3153.333435103815,770.6382482182921,1463.9574189218274,-1521.2650385982633,-2849.9529195404,619.7608214171626,240.54023444024915,-1101.7627460998451,PL22_0416chluvi-l2.png
18,-16615.268901360585,1173.9855500533904,2461.574989287138,-1439.0192514772473,-2652.8440728359956,1580.4338656853765,-1805.1284886114474,621.0129256256992,-228.0678338185538,1022.6661591807774,-1245.3358530648823,-484.4235018418247,285.8963172339227,-510.97253985024724,-992.8382466095601,PL22_0287pueboc-l3.png
19,-21680.110815755994,-5334.786067708993,-7663.998440571596,13393.90025447954,-6197.48996800905,-1236.1750340492524,3066.9374606913307,-4740.462245378607,-1910.5938790052003,2574.064001224268,3227.673278986552,-1306.6773037461483,-1060.6780425814882,-145.47505762628785,106.66926995996174,PL17_123maybel-l3-s4-f4-c2-d1.png
20,-26310.77499775856,-543.2277113816386,-2651.203567584257,-3114.5135921064116,3103.9957578520143,-2985.2784680841723,-9.685396424542931,-308.55507792854104,-586.4097637664199,232.40415296884552,-352.73857412577865,280.67252431212444,-252.77361062587738,220.11707429320097,-410.68377601840274,PL22_0515atlver-l1.png
21,1837.853130249842,-3995.417929327415,3989.581596341083,4441.137726089855,3956.160446989266,-1468.6234923911873,1741.0286706567226,-1038.6952553854142,-610.8397069633829,-1271.3543526019155,-162.2219782713622,959.5519920468963,478.9451473251038,-99.30783397095476,-2795.1833732214695,PL22_0134puetob-l8.png
22,22059.512528271625,14319.803217789993,3192.9080755963046,8203.374959930348,2037.5454641903896,-4505.765876668078,-834.5854374172847,3006.4765201234745,444.7707903999526,-2012.7846954308495,1632.4370022078474,-3523.5468395522666,2193.0656900102545,-2242.0091343154236,-110.22827558812597,PL22_0152puetob-l7.png
23,-5241.57047639515,-2253.0574747546766,3599.309169250364,1000.8710537690872,3463.593726658951,-1404.5380766847177,-2981.841316429881,-2653.527257047593,-807.8460810258395,484.4554090573537,235.766495716925,815.4178755014342,42.28146536066756,-491.78700768171535,-786.6920905058289,PL22_0014pueboc-l11.png
24,17576.41295689161,-8325.986053471443,-6527.724163213471,-1363.6198285159642,-566.7107817646058,5229.6522917984785,1463.5008998918895,2992.271752385616,-427.6247258718696,-1172.3335859454653,690.2183661506376,-829.9880229336167,-112.29708722689062,835.6069470610763,845.5319036007254,PL22_0347uniuvi-l4.png
25,-24776.632380075996,-1398.429536508573,1248.4891573448567,-3397.9697571384704,-2119.553809377025,419.4297266323712,-1676.3516601241943,769.1874774952131,354.7606905931181,429.38833179878145,-731.5024963547619,-1443.7303870318285,-887.9831339337495,125.43337652217328,-796.4366916277584,PL22_0392chluvi-l7.png
26,-5729.742829317486,11336.377771256433,3161.745581880027,-3565.392874639007,-6731.312556815207,920.4910461137686,-1055.2500038092628,-976.3517653217625,-2289.8644502558004,989.6905949958599,-1628.7939785786405,-588.3822528096059,-2119.906397805732,-670.5018850068467,1230.6759134948916,PL22_0201abeboc-l7.png
27,58277.94007627867,-11095.508825367706,4334.468968749126,2732.926634684729,-4910.56525636203,-5424.832369469234,-2721.3609099692594,976.6575464936464,-2194.6711142976583,2036.5981443120513,4308.28013243877,1076.2371726603933,1786.2487154149683,-280.3753144963152,4317.731596998685,PL22_0004pueboc-l16.png
28,10248.279766137168,-7110.150277327097,-2525.6093885582695,-5845.59396053479,-1157.7917361389966,-2274.1126895501147,3056.078191549501,-2382.462958868337,4071.8435844170053,-2776.3081110131197,2037.8892938583779,-2300.9276776362262,-970.7050366202833,-742.0164907633256,-1267.1095513271687,PL22_0465casver-l6.png
29,-26447.636550057716,-1962.3361452551892,-3673.734945694248,-1590.5743891654286,3407.750957660001,-2322.1218664404223,164.9722770582955,-278.6883271422491,-1113.7419023766581,24.782843119290106,321.9211161534636,-49.51243492652416,-770.8416583765762,639.5029220338154,-138.3754171347903,PL22_0263nigboc-l5.png
30,40407.22412693021,-22445.848086689075,19557.443177281893,4882.69067034097,5449.8801222999,1725.8295422492652,5086.385841048618,2270.5313822424914,362.98419406828026,5732.250031793116,-741.0407146040379,-3019.921228343067,525.964104103857,1366.0418989534294,1263.4947014440986,PL17_103puebel-l1-s4-f4-c2-d1.png
31,33396.00716992443,16052.753540453414,-7771.297845551937,3298.4791006461523,-3134.7394614423324,-2590.637825925597,-3592.5158725835,862.992876817482,-2258.6461577312466,-1498.6011356079484,-2096.5972961065345,811.3418889552677,2508.389744231786,2478.7817603796025,192.95638086885347,PL22_0293uniboc-l2.png
32,21775.674035222593,-1522.6681113804227,4702.959087686439,-279.04592711955854,-719.5826921922102,-4790.012898441737,-2113.0011382329903,-1043.964832200894,-2547.5997824452484,-720.1631599565193,1548.816210640644,-423.62281250068787,2157.7998353449816,-2504.3574664896196,1298.3275116523043,PL22_0009pueboc-l8.png
33,23481.453680864182,-19550.573422861078,-8444.530492083335,-5919.69792193781,1259.151963369985,-1379.1919351637528,1360.126465871984,4050.698381089613,-1207.9741624505248,646.8164898208423,-1070.4987259050924,-343.56114810643663,-3224.6035169008,1065.6790823833774,-346.0920236379704,PL17_135uniflo-l6-s4-f4-c2-d1.png
34,-1547.618623062477,-591.5193203332007,726.3987964467287,-748.7460482482219,5664.332169809684,1518.9395386381518,98.76677068066408,-1693.1578464790045,-299.46737912131266,-705.0151802582828,2317.5559149137666,-2459.1359345379647,-3282.9242719548947,-971.2986817097202,-791.6745399464105,PL22_0084pueboc-l1.png
35,13758.548334315086,-176.32726160208608,-6411.931289822695,-3843.39770852259,-830.1199966052227,368.507775779962,-1430.5165722600577,-722.7501568375185,78.67674147172826,-875.8654082443702,-1913.7229857632049,886.9455082230609,-1314.1153335922515,-1140.0200196942033,61.82594167633168,PL22_0421uniuvi-l4.png
36,32384.501749502124,-16845.52416785747,-9060.068297522801,-1561.4828641326108,-2002.73787084436,-1959.4021465270484,-3982.0804272687947,-200.11971665560574,2222.731598709135,593.4654231683428,756.4403981754132,330.6506613750027,359.7471001373568,-2678.0389313408455,1050.015587265864,PL22_0315uniuvi-l2.png
37,21957.82672292762,-16004.78246118256,-4885.087706373942,-4319.257212664502,-299.574691996088,-417.9015547852124,-522.3328574535883,2659.5253947841784,1138.6286251852105,238.36840787602708,-967.3188932467277,-2497.0558359482475,-1725.0008736608322,-2007.6340891018908,-3.410154224239926,PL17_140uniflo-l1-s4-f4-c2-d1.png
38,57291.044974441145,-15835.792452924492,17708.322342016967,2593.883378726805,-3363.0899581020185,-1502.4451059779162,7007.050610723909,1277.9728138478397,-2381.1437387707624,3536.888591921672,-3251.940720980245,534.9035080708492,3476.7314515108937,1203.1225245783187,-54.34159061907038,PL22_0002pueboc-l2.png
39,-25761.5703697007,-356.69928301479314,2042.617405857494,-3616.0365892270843,-2509.05084536095,-10.48911590281365,-1787.0986614056355,286.6733108929256,217.16741585201052,459.30843825839946,-838.7073751897656,-958.4975196056704,-207.008661581159,318.72616972092095,-1222.230509521566,PL22_0405chluvi-l2.png
40,-2417.0956327698514,16370.378018517895,-2455.703018569293,-6033.083430402826,-376.23597403260857,4407.394487743686,4327.680394344081,-1664.59246468758,855.3531448955019,4817.064783895132,-1745.3396449242766,1680.6953951220103,-309.4613950348459,-2513.2043869417157,573.6552100974114,PL22_0370abeuvi-l8.png
41,4776.9014790539095,-6512.83217456833,11039.896610611517,-17.45286002531721,-277.2302414566536,5852.161192806968,-1927.1727294558739,1558.3996855878543,436.6498324699877,-578.5018849652106,520.7081993622021,1367.7429442277935,840.3351300570345,-1054.317135647025,-1254.7781225125307,PL17_160floflo-l1-s4-f4-c2-d1.png
42,4814.449112328913,-4868.301755274734,-361.1770867775141,-6044.266656696115,-3446.0798738875565,-5436.478707205178,-689.1663821718222,-4447.465895367151,3030.7525692222334,-3474.162587971918,954.9889753785837,636.6486679693135,-296.1753365132572,-1199.0433283846753,-59.33293246923093,PL22_0478casver-l2.png
43,-1619.6095471357157,-8363.783132537032,6090.482683962935,4255.903612073964,3958.8413748329835,431.6126424527717,90.67209213534557,-423.8010398846221,1838.6158594422998,1116.5826860315642,-2561.3987531713874,728.9101643813733,-1042.7082292544028,2242.523864668756,-422.379507868192,PL22_0150puetob-l7.png
44,-18516.56821412197,-3790.799423705082,-3814.3259649129736,-593.3133616109372,2806.358163829936,-1638.045514812754,915.4944204478676,602.4662767727773,-690.8749357382845,812.943428150713,925.9423586759418,354.19018723054853,-8.755179223470531,629.6516091308451,-358.82631096039785,PL22_0189nigboc-l1.png
45,-4728.750346192572,-1114.4365008095544,2690.5885003471844,1633.693861670719,-1965.7592652011135,2036.996703327242,-2516.393842871086,-829.521861988563,227.17891171777075,-868.8927903658306,-213.60688472843765,1007.9818854881802,-1125.258222433923,-1546.3049601876976,123.4181481158869,PL22_0098pueboc-l5.png
46,-13815.700417364034,5231.0728031728695,-5496.666932266231,2708.7920849379784,3229.17562979882,1786.746577090989,-137.0336763286196,1703.8207304086989,2205.726192573979,1501.0136987147855,183.7507363332949,-388.5366738048522,2475.0658360472153,-605.3174933439241,-93.76677959391671,PL22_0070nigboc-l1.png
47,-16648.819685395523,-4035.3040604337234,-4840.94262880265,-1544.40867104487,3555.4600723558287,-164.33204569950937,1578.4795519890029,1623.9787512559817,12.134663407573802,380.18368777505333,1536.2566144911104,-391.18744008300547,-25.25128609158305,825.080262657197,558.0186474813962,PL17_093nigbel-l1-s4-f4-c2-d1.png
