,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
49,gun,are,16,3,1.135821793178448,0.065,117.16969271570052,0.527,0.07583333333333334,0.6916875000000001
50,bar,hon,11,75,1.7389833197045803,0.001,103.0668940857137,0.012,0.0022340425531914895,0.063
51,bar,tam,11,4,5.373342660173751,0.002,1083.7254852384192,0.002,0.003888888888888889,0.012352941176470587
52,bar,liz,11,6,3.1771900075353923,0.001,0.07934393186971478,0.777,0.0022340425531914895,0.8410824742268042
53,bar,ala,11,2,1.2870540720074406,0.016,646.8827264757383,0.015,0.023013698630136987,0.07159090909090908
54,bar,arc,11,20,1.7428885455836356,0.001,43.730115060042365,0.001,0.0022340425531914895,0.008076923076923077
55,bar,pri,11,40,1.2488205324580781,0.006,18.917805380594345,0.184,0.00984375,0.37153846153846154
56,bar,san,11,4,1.1449557394367529,0.014,105.0121156673614,0.091,0.020704225352112676,0.22193181818181817
57,bar,hai,11,3,1.553039713137326,0.004,439.9272391763379,0.004,0.007241379310344827,0.02210526315789474
58,bar,flk,11,19,1.5389270869725111,0.001,23.233172949098908,0.001,0.0022340425531914895,0.008076923076923077
59,bar,are,11,3,1.207971450093639,0.009,187.51246570018333,0.08,0.014104477611940298,0.20487804878048782
60,hon,tam,75,4,5.97555759387681,0.001,1651.8883936032755,0.001,0.0022340425531914895,0.008076923076923077
61,hon,liz,75,6,3.965572155082268,0.001,13.156139545672708,0.022,0.0022340425531914895,0.08884615384615384
62,hon,ala,75,2,1.1614004956659776,0.013,728.4122334299993,0.036,0.0195,0.11454545454545453
63,hon,arc,75,20,2.247704968531472,0.001,4.326362626912138,0.468,0.0022340425531914895,0.6894078947368422
64,hon,pri,75,40,1.8977590721989734,0.001,0.49038511140330515,0.754,0.0022340425531914895,0.8246875
65,hon,san,75,4,1.010290929132993,0.3,250.59205279060296,0.684,0.302,0.7733870967741936
66,hon,hai,75,3,1.4048246346774604,0.001,581.7844344891577,0.001,0.0022340425531914895,0.008076923076923077
67,hon,flk,75,19,1.5819844507680143,0.001,3.6441687006586574,0.95,0.0022340425531914895,0.9591346153846153
68,hon,are,75,3,1.136707192740819,0.002,390.3417846152213,0.389,0.003888888888888889,0.6587903225806452
69,tam,liz,4,6,1.4335865315934586,0.078,11.65772670755084,0.071,0.08806451612903227,0.19115384615384612
70,tam,ala,4,2,3.6569065151427296,0.07,4.378745736345594,0.49,0.08076923076923077,0.6894078947368422
