,spc1,spc2,n_spc1,n_spc2,permanova_teststat,permanova_pval,permadisp_teststat,permadisp_pval,permanova_corr_pval,permadisp_corr_pval
132,tan,flo,9,4,2.0503880663784297,0.005,130.16324313641894,0.003,0.006168831168831169,0.006551724137931035
133,tan,lib,9,3,1.563708551683105,0.004,1995.6399681150406,0.003,0.005066666666666666,0.006551724137931035
134,tan,may,9,10,2.0351549058931777,0.001,5.630047687165546,0.006,0.0014960629921259843,0.0114
135,chl,ran,15,16,1.3819313887277904,0.001,8.688472880741918,0.013,0.0014960629921259843,0.02129310344827586
136,chl,pro,15,4,1.420894232543782,0.001,541.2181249110995,0.015,0.0014960629921259843,0.02375
137,chl,atl,15,8,7.913308161491088,0.001,56.04246839435868,0.001,0.0014960629921259843,0.0028787878787878787
138,chl,cas,15,2,1.4248236697107293,0.012,1550.408947004969,0.004,0.01349112426035503,0.00826086956521739
139,chl,gem,15,9,1.5682746431580372,0.001,16.823689215312868,0.657,0.0014960629921259843,0.7005586592178771
140,chl,eco,15,3,2.229881675220833,0.002,815.7917127399614,0.002,0.002814814814814815,0.004810126582278481
141,chl,esp,15,3,1.3015577273779497,0.003,746.027003806524,0.003,0.0038775510204081634,0.006551724137931035
142,chl,flo,15,4,2.09674802392732,0.001,219.27298954769574,0.001,0.0014960629921259843,0.0028787878787878787
143,chl,lib,15,3,1.4494263797433966,0.003,829.3812418648026,0.003,0.0038775510204081634,0.006551724137931035
144,chl,may,15,10,1.963241507014313,0.001,49.004724394552404,0.001,0.0014960629921259843,0.0028787878787878787
145,ran,pro,16,4,1.3006235858564186,0.001,434.1288234314466,0.001,0.0014960629921259843,0.0028787878787878787
146,ran,atl,16,8,7.869787357977872,0.001,67.62439794702952,0.001,0.0014960629921259843,0.0028787878787878787
147,ran,cas,16,2,1.3514459197005593,0.012,1103.0606605266908,0.01,0.01349112426035503,0.017272727272727273
148,ran,gem,16,9,1.4474055690083583,0.001,35.91272973849989,0.476,0.0014960629921259843,0.5197701149425288
149,ran,eco,16,3,2.162247295466405,0.002,623.0983805507911,0.001,0.002814814814814815,0.0028787878787878787
150,ran,esp,16,3,1.2258815555711853,0.003,573.4098116878841,0.26,0.0038775510204081634,0.2923076923076923
151,ran,flo,16,4,2.038220830596543,0.001,215.7395866013552,0.001,0.0014960629921259843,0.0028787878787878787
152,ran,lib,16,3,1.390891884157366,0.001,627.125655783604,0.002,0.0014960629921259843,0.004810126582278481
153,ran,may,16,10,1.6054564991579394,0.001,72.75064845246924,0.001,0.0014960629921259843,0.0028787878787878787
154,pro,atl,4,8,5.480029742936052,0.003,1.2042346615320296,0.169,0.0038775510204081634,0.19699386503067487
155,pro,cas,4,2,1.4908204566291732,0.067,2617.3206471635176,0.051,0.06994505494505496,0.06776223776223776
156,pro,gem,4,9,1.4358225066502193,0.001,260.1056940363264,0.005,0.0014960629921259843,0.00979381443298969
157,pro,eco,4,3,2.0647116576703333,0.021,178.36820265702596,0.029,0.022931034482758624,0.04206106870229007
158,pro,esp,4,3,1.4021061088779472,0.022,129.1765139016759,0.031,0.023885714285714284,0.04330882352941176
159,pro,flo,4,4,1.88998703356865,0.02,5.080671366542465,0.031,0.021965317919075144,0.04330882352941176
160,pro,lib,4,3,1.5081314768898224,0.032,250.088683399663,0.024,0.03377777777777778,0.035905511811023624
161,pro,may,4,10,1.7021367816152921,0.002,47.65500834359143,0.152,0.002814814814814815,0.18278481012658226
162,atl,cas,8,2,3.498484827208515,0.024,3.00993103085829,0.357,0.02590909090909091,0.3966666666666666
163,atl,gem,8,9,6.366737809735037,0.001,25.8959115393978,0.001,0.0014960629921259843,0.0028787878787878787
164,atl,eco,8,3,2.2482164348799283,0.005,0.0014179240394517935,0.996,0.006168831168831169,1.0
165,atl,esp,8,3,4.786309936315355,0.011,0.010426735900708346,1.0,0.01259036144578313,1.0
166,atl,flo,8,4,2.461245968190412,0.004,2.4076426070328814,0.258,0.005066666666666666,0.2923076923076923
167,atl,lib,8,3,4.9081704805252935,0.01,0.00033424342711379465,1.0,0.011515151515151515,1.0
168,atl,may,8,10,7.960324997362035,0.001,19.033919003618166,0.001,0.0014960629921259843,0.0028787878787878787
169,cas,gem,2,9,1.3542362028799912,0.026,899.228136035349,0.029,0.02790960451977401,0.04206106870229007
170,cas,eco,2,3,1.6721034870641176,0.113,601.6957908291137,0.091,0.1135978835978836,0.11374999999999999
171,cas,esp,2,3,1.3333650642551167,0.104,667.0479997411616,0.112,0.1051063829787234,0.13641025641025642
172,cas,flo,2,4,1.5346399041943648,0.082,180.01814085523014,0.13,0.08513661202185793,0.1573248407643312
173,cas,lib,2,3,1.5241097208854666,0.103,1345.3728199051384,0.105,0.10465240641711229,0.12954545454545455
174,cas,may,2,10,1.6227347611202636,0.014,233.7024680437105,0.02,0.015555555555555555,0.030158730158730163
175,gem,eco,9,3,1.9564959830294275,0.009,431.5752814378249,0.006,0.01049079754601227,0.0114
176,gem,esp,9,3,1.2828296456197166,0.005,390.2925906219773,0.167,0.006168831168831169,0.1958641975308642
177,gem,flo,9,4,1.7876407209735463,0.003,90.54791898858439,0.057,0.0038775510204081634,0.07367346938775511
178,gem,lib,9,3,1.4712466729823603,0.006,440.43870987663774,0.072,0.007261146496815286,0.09059602649006622
179,gem,may,9,10,1.9572254681776238,0.001,10.01118204878171,0.001,0.0014960629921259843,0.0028787878787878787
180,eco,esp,3,3,1.892831753554503,0.089,2.1729962701290972,0.049,0.0914054054054054,0.06556338028169015
181,eco,flo,3,4,1.0142806957211399,0.23,42.14978002682834,0.056,0.23,0.07287671232876713
182,eco,lib,3,3,1.9991637797156863,0.089,0.05813823721078809,0.052,0.0914054054054054,0.06861111111111111
183,eco,may,3,10,2.4773790457652063,0.001,99.47895699301426,0.001,0.0014960629921259843,0.0028787878787878787
184,esp,flo,3,4,1.7024542507760647,0.033,33.987059196027054,0.032,0.034640883977900556,0.04437956204379562
185,esp,lib,3,3,1.4258075967341144,0.093,2.2049184352310247,0.04,0.095,0.05467625899280575
186,esp,may,3,10,1.547125909908474,0.003,88.2451699758042,0.04,0.0038775510204081634,0.05467625899280575
187,flo,lib,4,3,1.82451741116889,0.03,42.56744700884045,0.029,0.03184357541899441,0.04206106870229007
188,flo,may,4,10,2.375996304416369,0.001,20.068031751821678,0.183,0.0014960629921259843,0.2120121951219512
189,lib,may,3,10,1.631565796640832,0.006,98.85231400693146,0.018,0.007261146496815286,0.027804878048780485
